Index	Mass	RT	ParentCompound	ParentCompoundSmiles	GoodFilter	FilterNoisyT0	FilterNoisyT12	FilterDifferentMassDefect	FilterLikelyDrugFragment	FilterLikelyDrugMetaboliteFragment	PotentialFragments	IonSpectrum	LeadingMZ	DrugMassFlag	DrugMassDelta	MassDiff	DrugConsumedFlag	NumberOfDrugs	NumberOfIncreasedT12vsT0
323	158.023	2.087	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(159.03, 15352.29)(160.032, 2275.25)	159.03	0	-175.207	-175.207	1	1	9
352	161.141	0.478	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(162.1486, 33624.43)(163.1521, 2566.7)(361.2437, 33940.24)(362.2466, 5326.59)(363.2476, 827.87)	361.244	0	-172.09	-172.09	1	1	1
357	162.039	2.067	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(185.0294, 746.77)(163.0475, 7338.88)(164.0493, 997.6)(165.0389, 3340.27)	163.048	0	-171.191	-171.191	1	1	2
398	167.03	2.089	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(168.0355, 6365.55)(169.039, 937.62)(170.0249, 529.53)(205.9944, 1957.14)(206.9863, 0.68)(207.9781, 694.34)(208.9653, 0.68)(209.9524, 536.9)	168.036	0	-166.2	-166.2	1	1	0
418	170.061	1.993	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(363.1167, 720.37)(171.0687, 21983.31)(172.0722, 1191.33)(173.0656, 7299.94)(174.0666, 647.21)(341.1297, 21742.71)(342.1327, 7558.2)(343.1316, 4706.81)	171.069	0	-163.169	-163.169	1	1	0
421	170.092	2.048	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(171.0988, 24927.5)(172.102, 2358.35)(173.113, 709.74)(341.1898, 9392.43)	171.099	0	-163.139	-163.139	1	1	0
439	171.975	2.034	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(194.9654, 351.69)(172.9817, 95342.58)(173.9849, 4725.18)(174.9778, 4548.16)(175.9796, 308.18)	172.982	0	-161.255	-161.255	1	1	0
459	173.09	2.099	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(196.0826, 11416.13)(197.0833, 823.53)(174.0973, 21036.49)(175.1013, 2576.63)(176.1028, 656.88)(212.0518, 1721.86)(385.1547, 1965.74)	174.097	0	-160.14	-160.14	1	1	0
475	174.971	2.109	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(175.9779, 9574.82)(176.9842, 2365.66)	175.978	0	-158.26	-158.26	1	1	0
506	177.114	2.119	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(178.1208, 11179.36)(179.1252, 1342.37)	178.121	0	-156.116	-156.116	1	1	0
510	178.028	2.072	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(357.0628, 1942.89)(179.0328, 11328.46)(180.036, 1658.83)(181.0357, 4549.03)	179.033	0	-155.203	-155.203	1	1	1
534	180.076	2.022	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(181.083, 414403.75)(182.0857, 34739.38)(183.0915, 3788.31)(184.0891, 555.56)	181.083	0	-153.154	-153.154	1	1	0
536	180.081	2.023	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(203.0686, 675.47)(181.0868, 458268.75)(182.0916, 42856.86)(183.0939, 4813.35)(184.0931, 749.89)	181.087	0	-153.149	-153.149	1	1	0
560	182.013	2.073	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(183.0198, 7165.27)(184.0245, 1079.67)(185.0262, 2794.66)	183.02	0	-151.218	-151.218	1	1	0
562	182.056	2.063	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(183.0636, 10410.69)(184.0596, 1436.47)(403.0766, 426.04)	183.064	0	-151.174	-151.174	1	1	0
587	184.053	2.07	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(391.0975, 596.29)(185.0603, 11984.21)(186.0634, 1791.21)(187.0582, 973.44)	185.06	0	-149.177	-149.177	1	1	4
588	184.058	2.115	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(391.0993, 1594.54)(185.0646, 76145.16)(186.0679, 8600.39)(187.0617, 4418.27)(407.0812, 1024.88)(369.1286, 3041.36)	185.065	0	-149.172	-149.172	1	1	0
591	184.107	2.039	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(185.1149, 23399.65)(186.1177, 2809.62)	185.115	0	-149.123	-149.123	1	1	0
630	188.061	2.169	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(189.0686, 39795.04)(190.0753, 4389.03)(191.0715, 2194.93)	189.069	0	-145.169	-145.169	1	1	1
671	192.124	0.994	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	1	1	0	0	0		(193.132, 11982.89)(385.2543, 10205.64)	193.132	0	-141.106	-141.106	1	1	1
706	196.11	2.1	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(197.1174, 32150.86)(198.1204, 3590.93)(235.0726, 938.34)	197.117	0	-137.12	-137.12	1	1	6
735	200.04	2.048	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(201.0469, 7365.31)(202.0479, 1276.04)(203.0376, 5218.59)(204.0345, 889.14)(205.034, 294.2)	201.047	0	-133.191	-133.191	1	1	2
775	203.063	2.054	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(226.0518, 2329.3)(204.0696, 9413.86)(205.0681, 6767.83)(206.0727, 1650.36)	204.07	0	-130.168	-130.168	1	1	0
792	205.009	2.059	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(206.0168, 7092.62)(207.0194, 845.46)(208.0131, 657.93)	206.017	0	-128.221	-128.221	1	1	34
834	209.037	2.03	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	1	0	0	0		(210.0436, 42198.12)(211.0497, 5045.92)(212.0429, 2027.98)	210.044	0	-124.193	-124.193	1	1	0
852	211.04	2.071	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(212.0476, 6813.19)(213.0542, 1253.68)	212.048	0	-122.19	-122.19	1	1	1
866	212.115	2.266	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	1	0	0	0	0		(213.1207, 38337.21)(214.1218, 4165.36)(215.1107, 1039.85)(425.2354, 8835.08)(426.2355, 4206.97)	213.121	0	-121.115	-121.115	1	1	5
873	213.122	2.28	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(214.1286, 40304.18)(215.1348, 6330.88)(216.138, 1312.47)	214.129	0	-120.108	-120.108	1	1	0
875	214.003	2.074	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(215.008, 7199.88)(216.0049, 832.17)	215.008	0	-119.228	-119.228	1	1	1
884	214.123	2.135	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(215.1305, 267459.88)(216.1334, 29709.84)(217.1383, 21439.17)(218.1398, 1422.57)	215.131	0	-119.108	-119.108	1	1	1
894	215.997	2.107	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(238.9867, 729.48)(239.9825, 0.05)(240.9782, 294.59)(217.0047, 9892.36)(218.0068, 1980.07)	217.005	0	-117.233	-117.233	1	1	0
896	216.011	2.109	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(238.9984, 794.82)(240.0119, 0.15)(241.0253, 435.08)(455.0126, 388.47)(217.0273, 113239.6)(218.0296, 8329.4)(219.0287, 1687.61)	217.027	0	-117.219	-117.219	1	1	1
897	216.017	2.092	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(217.0242, 8461.79)(218.0313, 1555.88)(219.0152, 1198.32)(471.0048, 2253.06)	217.024	0	-117.213	-117.213	1	2	7
901	216.024	2.029	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(217.0303, 37016.77)(218.0335, 3320.34)(254.9844, 864.08)(255.9797, 0.06)(256.9749, 470.15)(471.0061, 915.39)(472.0056, 823.24)(472.993, 773.01)	217.03	0	-117.207	-117.207	1	1	1
908	216.101	2.119	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(239.0923, 7441.49)(217.1086, 19839.06)(218.1118, 2234.42)	217.109	0	-117.129	-117.129	1	1	1
911	216.129	2.115	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(217.1363, 18958.25)(218.1414, 1091.11)	217.136	0	-117.102	-117.102	1	1	0
912	216.132	2.091	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(217.138, 21192.61)(218.1413, 1067.63)	217.138	0	-117.098	-117.098	1	1	0
916	217.078	2.054	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(218.0854, 93000.16)(219.0881, 3923.39)(220.0822, 2119.56)	218.085	0	-116.152	-116.152	1	1	4
927	218.092	2.138	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(219.0989, 12286.47)(220.104, 1698.4)	219.099	0	-115.138	-115.138	1	1	1
956	220.976	2.114	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(221.9838, 32973.2)(222.9855, 4168.3)(223.9863, 729.03)	221.984	0	-112.254	-112.254	1	1	0
976	222.136	2.104	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(223.1428, 33412.9)(224.1461, 5948.62)(225.1448, 1599.22)	223.143	0	-111.095	-111.095	1	1	0
978	222.14	2.104	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(223.1427, 33073.71)(224.1454, 3874.13)(225.1418, 1216.48)	223.143	0	-111.09	-111.09	1	1	0
995	224.023	2.047	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(225.0302, 8214.79)(226.0336, 1097.88)(227.0214, 840.32)(487.0078, 488.29)	225.03	0	-109.207	-109.207	1	1	2
1000	224.107	2.153	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(225.1164, 11992.22)(226.1143, 3051.34)(227.1217, 1237.12)	225.116	0	-109.123	-109.123	1	2	4
1001	224.113	2.177	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(225.1189, 13376.51)(226.1176, 1748.82)	225.119	0	-109.118	-109.118	1	1	0
1003	224.11	2.143	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(225.1173, 12705.92)(226.1137, 3066.09)	225.117	0	-109.12	-109.12	1	1	0
1008	224.995	2.063	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(226.0025, 15482.46)(227.0084, 2365.29)(451.0065, 458.29)	226.002	0	-108.235	-108.235	1	1	1
1026	226.064	2.088	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(227.0725, 8100.42)(228.0751, 3484.84)	227.072	0	-107.166	-107.166	1	1	1
1031	227.01	2.07	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(228.0175, 6284.74)(229.021, 1389.4)(230.019, 5624.38)(231.0187, 580.88)	228.018	0	-106.22	-106.22	1	1	1
1038	228.079	1.905	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(251.068, 6209.95)(252.076, 1468.4)(253.0691, 933.4)(229.0858, 216221.34)(230.0883, 20407.37)(231.0827, 8197.23)(232.0823, 1065.4)	229.086	0	-105.152	-105.152	1	1	1
1039	228.082	2.021	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(251.0725, 7230.11)(252.08, 1891.62)(253.0768, 889.9)(229.0912, 238151.28)(230.0936, 24633.96)(231.0881, 9617.63)(232.0891, 1260.53)	229.091	0	-105.149	-105.149	1	1	0
1046	228.133	2.098	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(229.1398, 65913.45)(230.1431, 8235.46)	229.14	0	-105.097	-105.097	1	1	1
1055	228.973	2.031	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(229.9806, 42457.65)(230.9833, 4310.57)(231.981, 8050.21)(232.9794, 558.71)(233.97, 3327.29)	229.981	0	-104.257	-104.257	1	1	0
1057	229.028	2.109	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(252.0181, 1057.08)(230.037, 6841.32)(231.039, 1036.76)	230.037	0	-104.202	-104.202	1	1	1
1068	230.033	2.075	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(253.0239, 971.3)(231.0412, 6702.06)(232.0428, 1921.77)(268.9957, 5034.58)(269.9992, 570.04)	231.041	0	-103.197	-103.197	1	1	1
1088	231.99	2.05	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(232.9972, 19756.05)(233.9988, 2175.24)(234.9976, 8358.7)(236.0031, 935.84)(236.9935, 2860.1)(237.9961, 337.44)(238.9909, 331.66)(464.9834, 882.66)	232.997	0	-101.24	-101.24	1	1	4
1091	232.092	0.624	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	1	1	0	0	0		(255.0835, 2095.25)(233.1004, 62655.28)(234.1044, 6578.61)	233.1	0	-101.138	-101.138	1	2	1
1113	234.024	2.118	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(235.0316, 5919.72)(236.0342, 1243.62)(237.0289, 7216.48)(238.0333, 792.03)	237.029	0	-99.206	-99.206	1	1	1
1114	234.055	2.076	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(257.0467, 801.99)(235.0636, 7462.74)(236.0655, 1734.88)(237.0637, 1777.07)(273.0201, 1569.66)(274.0235, 682.65)(275.0186, 1005.42)(507.0724, 810.88)	235.064	0	-99.176	-99.176	1	1	1
1191	240.023	2.176	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(481.0555, 759.79)(241.0302, 7322.06)(242.0317, 1705.27)	241.03	0	-93.207	-93.207	1	1	0
1192	240.065	2.109	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(241.0715, 10250.21)(242.0759, 1595.85)	241.071	0	-93.165	-93.165	1	1	1
1196	240.112	2.045	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(241.1197, 26394.32)(242.1241, 4952.71)	241.12	0	-93.118	-93.118	1	1	0
1210	242.033	2.051	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(243.0402, 10977.23)(244.0433, 1426.93)(245.0444, 661.8)	243.04	0	-91.198	-91.198	1	1	4
1215	242.115	2.042	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(485.2417, 9275.89)(265.1009, 6069.77)(266.111, 1271.41)(281.0775, 2350.86)(282.087, 477.79)(243.1228, 97844.05)(244.1269, 18544.22)(245.1213, 4921.25)	243.123	0	-91.116	-91.115	1	1	0
1216	242.123	2.165	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(265.1092, 46878.41)(266.1131, 6081.11)(243.1287, 891836.7)(244.1319, 113776.52)(245.1334, 15741.81)(246.1315, 2399.32)(485.2575, 26519.02)(486.2613, 8981.89)	243.129	0	-91.107	-91.107	1	1	0
1246	244.075	2.044	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(267.0641, 1582.26)(245.0836, 9733.0)(246.0837, 2612.56)(489.1567, 4342.69)(490.1485, 1154.1)	245.084	0	-89.155	-89.155	1	2	1
1260	245.023	2.111	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(246.0307, 13367.88)(247.0338, 1520.96)(248.0324, 430.98)	246.031	0	-88.207	-88.207	1	1	1
1317	250.002	2.105	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(522.992, 367.55)(251.0097, 50733.44)(252.0119, 6319.67)(253.0042, 3379.96)(254.0079, 348.88)	251.01	0	-83.228	-83.228	1	1	0
1323	250.074	2.009	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(251.0801, 11424.53)(252.086, 1511.77)(253.0752, 1146.37)	251.08	0	-83.157	-83.157	1	1	0
1325	250.131	2.113	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(251.1383, 27330.34)(252.1421, 4233.44)	251.138	0	-83.099	-83.099	1	1	0
1360	253.139	2.051	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(254.1461, 7784.74)(255.1503, 1030.48)(256.1385, 1951.68)(257.1362, 539.61)(258.1361, 183.78)	254.146	0	-80.092	-80.092	1	1	2
1371	254.113	2.095	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(531.2159, 2380.93)(255.1205, 19904.82)(256.1219, 5501.76)	255.12	0	-79.118	-79.118	1	1	1
1416	258.094	2.057	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(259.1019, 16978.99)(260.1065, 2243.83)(261.1104, 4852.25)	259.102	0	-75.136	-75.136	1	1	2
1441	260.124	2.07	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(283.1124, 13205.2)(261.1308, 8734.58)(262.135, 1531.08)	283.112	0	-73.107	-73.107	1	1	1
1448	260.995	2.112	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	0	0	1	0	0		(262.0027, 52871.75)(263.0069, 8599.91)(264.0031, 11498.64)(265.0042, 2319.21)(265.9913, 4948.09)	262.003	0	-72.235	-72.235	1	1	1
1462	262.118	2.066	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(285.1089, 5863.09)(263.1248, 179625.97)(264.128, 26018.11)(265.1365, 4235.6)	263.125	0	-71.112	-71.112	1	1	0
1481	264.091	2.116	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(265.0972, 23615.67)(266.1004, 1932.84)(267.1043, 747.52)	265.097	0	-69.139	-69.139	1	1	0
1482	264.096	2.114	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(265.1003, 52392.41)(266.1056, 4160.52)	265.1	0	-69.134	-69.134	1	1	0
1487	264.134	2.133	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(287.1223, 774.62)(265.141, 87408.07)(266.144, 11588.7)(267.1482, 1708.38)	265.141	0	-69.097	-69.097	1	1	2
1489	264.137	2.136	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(265.143, 67811.16)(266.1462, 10046.46)(267.1489, 1452.03)(303.1039, 585.14)	265.143	0	-69.094	-69.094	1	1	1
1490	264.139	2.165	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(265.1462, 141949.36)(266.1491, 21867.46)(267.1529, 3008.03)(303.1034, 1186.16)	265.146	0	-69.091	-69.092	1	1	0
1492	264.148	2.26	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	1	1	0	0	0		(287.1397, 2107.43)(265.1492, 184011.8)(266.152, 27473.17)(267.1558, 4351.6)(529.3007, 2793.61)	265.149	0	-69.082	-69.082	1	1	1
1504	265.974	2.113	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	1	0	1	0	0		(266.9827, 9809.25)(267.9884, 1313.75)(268.9864, 774.26)	266.983	0	-67.256	-67.256	1	1	1
1522	267.05	2.052	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(268.0547, 6770.08)(269.0638, 1382.6)(270.052, 885.64)(535.1094, 755.12)	268.055	0	-66.181	-66.181	1	1	0
1540	268.039	2.114	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(269.0471, 19289.82)(270.0503, 2418.68)(271.0527, 652.78)	269.047	0	-65.191	-65.191	1	1	0
1552	269.101	2.055	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(270.109, 11618.77)(271.1055, 1632.33)	270.109	0	-64.129	-64.129	1	1	2
1582	271.141	2.131	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(272.1484, 18567.62)(273.1519, 3149.31)	272.148	0	-62.09	-62.09	1	1	2
1583	271.145	2.115	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(272.1488, 12798.03)(273.1518, 1944.71)	272.149	0	-62.085	-62.085	1	1	0
1589	272.069	2.088	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(273.0769, 5755.06)(274.0816, 1895.17)(275.0761, 1347.69)(583.1045, 528.83)	273.077	0	-61.161	-61.161	1	1	7
1590	272.081	2.136	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(545.1688, 6715.32)(546.1725, 2812.34)(547.1704, 2575.49)(311.0296, 1620.14)(273.0759, 10066.17)(274.0761, 3557.76)(275.0729, 10059.43)(276.0819, 1798.62)	273.076	0	-61.15	-61.15	1	1	1
1612	274.066	2.1	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(275.0737, 11800.22)(276.0813, 2136.6)	275.074	0	-59.164	-59.164	1	1	1
1618	274.138	2.092	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(275.1449, 17834.71)(276.1434, 4259.51)	275.145	0	-59.093	-59.093	1	1	1
1676	278.113	2.079	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(279.1205, 14480.19)(280.1233, 3208.27)	279.12	0	-55.118	-55.118	1	1	0
1707	280.066	2.145	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	1	0	0	0	0	0		(583.1176, 712.21)(281.0721, 60151.93)(282.076, 7530.09)(283.0809, 2921.13)	281.072	0	-53.165	-53.165	1	1	6
1708	280.074	2.141	CARBETAPENTANE CITRATE	CC[NH+](CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1	0	1	1	0	0	0		(281.0737, 16192.12)(282.0768, 2473.14)	281.074	0	-53.156	-53.156	1	1	0
